model,strategy,training_size,coverage,set_size,acc,duration
RF,lac_split,334,0.9106,1.628,0.767,0.26500000001396984
RF,lac_split,335,0.921,1.6902,0.7702,0.2970000000204891
RF,lac_split,336,0.9662,2.2316,0.7764,0.2809999999590218
RF,lac_split,337,0.8886,1.4734,0.7736,0.28200000000651926
RF,lac_split,338,0.9614,2.0876,0.7796,0.29599999997299165
RF,lac_split,339,0.95,1.979,0.7798,0.28200000000651926
RF,lac_split,340,0.9428,1.7904,0.7804,0.28100000007543713
RF,lac_split,341,0.8972,1.5648,0.752,0.2969999999040738
RF,lac_split,342,0.8642,1.3602,0.7644,0.2970000000204891
RF,lac_split,343,0.9294,1.6842,0.7802,0.28200000000651926
RF,lac_split,344,0.9576,2.223,0.7486,0.29599999997299165
RF,lac_split,345,0.8954,1.4718,0.772,0.2970000000204891
RF,lac_split,346,0.9734,2.3366,0.7718,0.28100000007543713
RF,lac_split,347,0.9442,2.0378,0.76,0.2809999999590218
RF,lac_split,348,0.9158,1.7614,0.75,0.2809999999590218
RF,lac_split,349,0.9138,1.5938,0.7698,0.28100000007543713
RF,lac_split,350,0.9116,1.6716,0.765,0.2970000000204891
RF,lac_split,351,0.8366,1.2866,0.7496,0.2970000000204891
RF,lac_split,352,0.9062,1.6876,0.741,0.2970000000204891
RF,lac_split,353,0.8944,1.475,0.7846,0.2970000000204891
RF,lac_split,354,0.867,1.321,0.7738,0.2970000000204891
RF,lac_split,355,0.902,1.4332,0.7898,0.2969999999040738
RF,lac_split,356,0.945,1.8516,0.777,0.28100000007543713
RF,lac_split,357,0.8776,1.4702,0.7552,0.2970000000204891
RF,lac_split,358,0.9184,1.7034,0.7632,0.28200000000651926
RF,lac_split,359,0.9144,1.5894,0.7728,0.2809999999590218
RF,lac_split,360,0.909,1.5832,0.7782,0.28200000000651926
RF,lac_split,361,0.9506,2.0376,0.7644,0.26500000001396984
RF,lac_split,362,0.9342,1.7322,0.7772,0.28200000000651926
RF,lac_split,363,0.9376,1.8176,0.7744,0.2809999999590218
RF,lac_split,364,0.9216,1.6318,0.763,0.2970000000204891
RF,lac_split,365,0.8814,1.4116,0.7664,0.28100000007543713
RF,lac_split,366,0.918,1.5528,0.791,0.2809999999590218
RF,lac_split,367,0.9178,1.616,0.779,0.2809999999590218
RF,lac_split,368,0.9102,1.6896,0.7592,0.28200000000651926
RF,lac_split,369,0.9254,1.6346,0.7848,0.2809999999590218
RF,lac_split,370,0.924,1.6388,0.7804,0.2809999999590218
RF,lac_split,371,0.8656,1.391,0.7498,0.2809999999590218
RF,lac_split,372,0.9318,1.8098,0.7776,0.2970000000204891
RF,lac_split,373,0.9234,1.7382,0.7754,0.2970000000204891
RF,lac_split,374,0.9232,1.732,0.7554,0.2970000000204891
RF,lac_split,375,0.938,1.8034,0.7782,0.2809999999590218
RF,lac_split,376,0.9352,1.7884,0.7622,0.2970000000204891
RF,lac_split,377,0.9114,1.5786,0.7714,0.29599999997299165
RF,lac_split,378,0.934,1.6744,0.7878,0.2970000000204891
RF,lac_split,379,0.9024,1.606,0.7544,0.28200000000651926
RF,lac_split,380,0.9626,2.4308,0.741,0.2970000000204891
RF,lac_split,381,0.8966,1.4292,0.7784,0.2970000000204891
RF,lac_split,382,0.9578,2.1186,0.756,0.2809999999590218
RF,lac_split,383,0.9048,1.5296,0.7814,0.2970000000204891
RF,lac_split,384,0.9212,1.5578,0.7934,0.2970000000204891
RF,lac_split,385,0.8912,1.4442,0.7802,0.29599999997299165
RF,lac_split,386,0.9372,1.7704,0.7802,0.2970000000204891
RF,lac_split,387,0.9674,2.2626,0.7632,0.28200000000651926
RF,lac_split,388,0.9346,1.8484,0.7578,0.29599999997299165
RF,lac_split,389,0.9436,1.7676,0.7904,0.3130000000819564
RF,lac_split,390,0.927,1.6852,0.7698,0.2969999999040738
RF,lac_split,391,0.9522,1.9242,0.7838,0.2970000000204891
RF,lac_split,392,0.9554,2.0964,0.7722,0.2970000000204891
RF,lac_split,393,0.9304,1.6696,0.7868,0.29599999997299165
RF,lac_split,394,0.95,1.9594,0.7678,0.2970000000204891
RF,lac_split,395,0.9336,1.6994,0.7832,0.31299999996554106
RF,lac_split,396,0.964,2.1072,0.766,0.28100000007543713
RF,lac_split,397,0.9512,1.947,0.7834,0.31299999996554106
RF,lac_split,398,0.9292,1.6328,0.7852,0.29599999997299165
RF,lac_split,399,0.944,2.0128,0.7552,0.3130000000819564
